text,sentiment
hemp cloth is marvelous but unfortunately no,negative
gon na read a story bout adam lambert online then bed nighty night,neutral
we saw that in none the baddie the best,positive
am and i m on the beach pretty,positive
certainly not cheers than huh,neutral
week post traumatic jumping cholla accident next dirty trick pieces are starting to emerge from my hand ouch,negative
i realy wanted to go out cause its so nice but everybodys busy,negative
awesome i down in ocean beach if you know where that is by the way yourbiggestfan i a re al big fan of you rs,positive
at least i get to watch over time let go pens,neutral
cool i wear black most of the time when i go out,neutral
haha i do not know how to work blip apart from the obvious thanks for reblipping my song have a nice day,positive
have a safe trip joshy poo knock them dead at your speech,positive
woof i wish i was allowed to go,positive
if u have a friendster add me my email adress add me add me leave some comment,neutral
has tickets,neutral
thank you afrin nasal spray also i got a giant teacup tonight,positive
acsm it unfathomable i think the other one and the is one that should be kept to the comfort of our bedrooms yes,neutral
aww i love my daddy he works days a week almost all day and still tries to go to sf with all of us,positive
so many tests todayyy i do feel confident about anyy,negative
graduation is done i m a little sad anyone want to hang out,negative
hahaa your awesomee,positive
holy smokes star trek was freaking awesomeeeee,positive
i hate fallout it keeps making me jump i also low on health money ammo and food do worry i get through it,neutral
i had it on my itunes but then i lost all my songs,neutral
what with the gloomy weather the sun must be too tired to come out and play heading to victoria gardens for some impulse buys haha,neutral
not looking forward to next week maths geography english and french exams totalling hours,negative
poor you get outside and sleep in the garden the sun will do you good but do forget suncream,negative
not well,negative
not a prob hun,positive
at dads watching some mtv and am going on in a minutee,neutral
absolutely,neutral
what the matter chickadee,neutral
hey mia totally adore your music when will your cd be out,positive
shopping cleaning bmfing webcam chatting with nephews nothing spesh but a good bank holiday monday nonetheless,positive
o you need to ask him something lmao i love him too,positive
those splinters look very painful but you were being very heroic saving mr pickle,negative
why are you sad,negative
nice to see you tweeting it sunday may and we celebrating mother day here today so be nice to yer mom,positive
decided trans frm relaxed natural hair but i wish my whole head looked like my roots age of the instant gratification,positive
namaskar namaste r both the same marathi people say namaskar its a marathi word should i naaaah,neutral
congrats i cuss like that in a matter of minutes but did know until now there is a reward for it,neutral
humous and dorito oh yes,neutral
missed all the awesome weather because she was in a movie,negative
today is going to be a normal day for i hope we had a group of pilots from a large airline come in last night so it was too much drink,neutral
these kids are terrible if i was in good evans i call childline,negative
unfortunatley aerlingus no longer fly to copenhagen so we have to fly ryanair to billund and drive up to copenhagen one of the days,negative
what sad is that i actually had to google that term that sucks tho,negative
hate fighting,negative
i watched that too i did nt want her to win but she put up a good fight lol,neutral
car warmed sprite tastes like sore throat,negative
just came in cross country and beat dumbo,neutral
candle wax is very enjoyable,positive
she unassuming and unpretentious she just as i suppose that why she so endearing because we can relate to her,positive
tomorrow valeria lunch going to get my hair done but i m arraving late got my cousins babtizm or whatever you spell it,neutral
goooooddd morning tweets week three of my workout did i mention i got my new glasses yesterday,positive
me too i hate my computer so much,negative
fine going to do my big walk today or so miles,positive
i want red cruisers i do like the other ones lmfao,negative
mmmmmmmm it in the morning,neutral
me neither,neutral
has about hours work to do on a sunday boo i will find time for a two hour lunchbreak though yeah,neutral
bugger forgot i still have washing in my machine,negative
laurie sending love blessings healing thoughts to you family peace,positive
my back hurts really bad,negative
ah yes i know that feeling,neutral
night of the cookers with my dad,neutral
my modem has been offline for a week now god bless the g network tim just left again may schedule has been brutal,negative
nope i am in coquitlam,neutral
had parent teacher thing yesterday so boring going to skl on saturday lol,negative
lichfield tweetup sounds like fun hope to see you and everyone else there,positive
big booming thunder storm almost here maybe we can all go home early ah probably not,neutral
few bevvies in twn great on a day off,positive
first night in myers just not the same w out lydia but i actually excited about this summer,positive
good morning,positive
its the best show ever,positive
url in previous post to timer job should be i removed space which messed up url,negative
i think iv hurt my tooth and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha l,neutral
i want to know when the auditions are mander text or reply please,neutral
or even nooooo not the secret namerebecca please,negative
i miss my neice ca wait to see her bad n grown lol,negative
i need to get my computer fixed,neutral
really hopes her car illness is not terminal,negative
all the cool people i want to find for following today are english and i guess the english do tweet,neutral
no sir i woulda put honey but i do have any,neutral
who watched x men origins wolverine i totally loved it haha,positive
i voted do u have a personal myspace i keep talking to fakes i you u helped me thru the hrdest time of my life x,positive
i sad that i missed you guys last night,negative
finally got a call for marriage counseling days late,neutral
ok then,neutral
why baby,neutral
today was the last day of high school for me and i ended up going home sick stupid dead rats,negative
we having an impromptu pool party except i do know how to swim so i ca get in,neutral
lost my tooth whilst i was eating gum oww,negative
happy year,positive
oh i hella forgot to say my official good morning like to hear it here it go goooooooooooood morrrrrrrrning twitterville lol,positive
phew will make a note in case anyone else runs into the same,neutral
what about me i vote every day for you,negative
i starving this diet is killing me but i ca eat after pm,negative
i talk to you,neutral
i m soo bored im deffo missing my music channels,negative
nite nite bday girl have fun at concert,positive
had nicotine replacement patch on for hours so far so good but i did sleep for most of those hours getting a bit twitchy now,neutral
sanderson what with twatter lately either i ca get on or the replies do turn up,neutral
should be sleeping lost my voice a couple day ago,negative
hate when my parked car gets hit,negative
i heard this fall i waiting too,neutral
more nightmares huggles,neutral
i am such a creeper i feel disappointed because of it my cyberstalking skills the internet no more privacy,negative
going to bed its late and i have headache,negative
happy mother day to all moms out there,positive
grabbing coffee from then making mom breakfast,neutral
i m thinking that i m going to have fun tonight and maybe some changes are coming,positive
thanks before the major chop,neutral
haha i know i ca nt handle the fame and thank you,positive
just got up and updated my ipod,neutral
yes sober hahaha tanghaling tapat dude haha wild i do knowwww plan plan before you go to us,positive
we never miss icarly my son has a huge crush on miranda,positive
saw james carville in the store today his head is really that bald,neutral
yellow for g,neutral
which means you just going to have to come back to vancouver and have it our way hahah,neutral
feeling smooth like chrome,positive
ew traffic,negative
downloading songs while trying to sneak a lil homework in too which should be my main priority not songs lol,neutral
your not alone i need coffee too,neutral
sounds like me,neutral
bad day the day you realize what mess you put me through will be one of the happiest days of my life,neutral
walking to class i hate not having a bike especially mine,negative
nesmith,neutral
failed inspection did you know you can pass wo oven but not wo anti tip bracket which is only sold w oven this is worse than taxes,negative
jonas brothers live to party it rocking so hard i love the song,positive
happy mother day to all the mothers in the world,positive
through the google wave demo that looks a lot of fun would love to test it though,positive
sleepy tabz is heading to bed fun night listened through the next episode of,positive
the exception for a short dude larenz fineass tate yum,neutral
screw the reviews i thought wolverine was awesome but not enough dominic monaghan for my liking,positive
if you followed us recently please do nt be offended that we have followed back we hit our limit hopefully we will be free soon,positive
yes i work to,neutral
hmmm maybe that what they meant they eluded to something brand new but you know how the media is,neutral
done at the spa now meeting vic for some late lunch,neutral
happy monday up and about going to tavares today hope everyone has a blessed day,positive
always have wanted to go to oz,neutral
thx,neutral
cool luv it,positive
that why i need to be there to represent the blackberries,positive
okay so i dedicating my tweet to the fact that i going to the apple store because there is a huge crack on the glass screen,neutral
if only we could ever actually be allowed to stay here and do that,neutral
let me know how that turns out,neutral
was that sass i detect as long as it is back sass haha,neutral
yeah i was thinking about that ahaha,positive
sports bar shatranjanpoli rest ph all sports bar andheri w do nt know whether that helps google ki jai ho,neutral
i not sleeping at all until accepts my appology,negative
wolverine was boss seriously and will was in it what the,negative
i live for pain bring it on,neutral
okay i out for a while back later,neutral
powerblog what is this powerblog challenge you keep talking about i a newbie follower,neutral
almost died laptop screen was set to brightness after i reinstalled windows vista got a headache now insanedefaults,positive
waiting for tish to get off got to drive my moms crv to pick her up all my myself and duckie first time,neutral
trying to decide on a movie with the friends not going to well lol no bible study which means cake buy my own,negative
going to shower because i do want to smell at school tomorrow,neutral
sigh you know i am,neutral
discovered cause of a bug in the new netplayer build publishing bug fix now hopefully new beta by tomorrow,positive
here are free twitter tools will get you followers,neutral
just got home from work and is chugging down a big bottle of apple juice,neutral
yes it does please do nt go if you die i will cry which normally leads to small animals getting harmed,negative
writing report cards soooo tired but what an amazing day check it out on fb soon,positive
it was only once for my big brother and i done now,neutral
good news finally finished my easactive workout that has been paused for hours bad news my resistance band is torn,neutral
well good morning all what a wonderful day in the neighborhood thanks for all those that are now following another this morning,positive
ftsk and mercy mercedes were amazing tonight as always,positive
hope he is ok,positive
ca school just be done already it hurts too much seeing him every day,positive
i waited listening to wind blowing through the tumbleweed are none of you old enough to know what to do when someone says crackerack,neutral
hell yeah,neutral
him shirt at dinner do you need to ask does it actually have ville on it,neutral
i know,neutral
huh what the smelly noooo i love alex vixon,neutral
went to a party last night dindin and i showed up in matching outfits great minds think alike anyway happy birthday ate lara,positive
happy b day just woke up on this side of earth so wishes are bit late,positive
thank you for teaching me values and to be a better person each day i love so much the best mum in the world,positive
happy mothers day,positive
laughs i glad that you have self confidence it a wonderful trait to have i applaud extra loud for it okay,positive
thanks,positive
twittering after days,neutral
getting ready for week its too nice today to be stuck inside working,positive
i am tres depressed,negative
felt like behaved like my son ate to compensate pigged out on home roasted sugar almonds painful tum threw up still feel sick,negative
happy mothers day people i love my mom a lot still,positive
i sorry to hear that,negative
that awesome dude yay for surprise celebrities i got to meet him a few years ago he was soooo friendly,positive
it makes me happy to hear a girl talk or tweet about the nba but could you give my nuggets some love,positive
is getting the hang of twitter,neutral
you know your neck is jacked up when you are forced to pay for parking bc you ca turn you head to parallel park in the free spaces,negative
i want it back now,neutral
going to miss my roomie we will no longer be roomies starting tomorrow,negative
bathing with two little angels keyla and janice,neutral
yep finished chocked full of spelling and grammatical errors but i cleaning it up tomorrow and popping it up hehe,negative
hahahha lol true that i always remember my bd but i can never remember what date or even day it is,neutral
family is here hanging with them,neutral
watching ellen love her then doing the dishes and tanning it gorgeous out,positive
what goin on hun i worried about you,negative
i m not bannished but i am at work till,negative
morning if i get to see it i let you know right now i going to go see wolverine,neutral
red top tabloids build em up knock em down,neutral
tonight in party my girls minus vita,positive
why not now you made me sad i thought you be jumping for joy,neutral
simple my,neutral
the pics i just uploaded are the baby pics of my cats missy is now an adult and a pretty little kitty but batty is in kitten heaven now,neutral
i saw the play of it here it was amazing,positive
i am glad to break my twitter virginity with you two,positive
dinner with the fam i have missed them,negative
live that what i want more the better bound to be a few bad eggs though but they will soon learn,neutral
hell yeah kellynn got a twitter finally,neutral
i know it was worth a shot though,positive
just opened a facebook account i a little confused i do really get it twitter seems much better,positive
ship i stuck,negative
dustbin baby on at can not wait x,positive
not going to dwell on it it happened it passed just a shame as he was so supportive such is life x,negative
it looks like the office tv does get mlb network and it looks like mlbn will not be televising the det bal game today wieters,neutral
home empty handed no comics found today i shall now indulge in my cupcakes from magnolia bakery,neutral
laying in bed til workkk oh the life definitely pinched a nerve,negative
today is a busy day exhausting,negative
i was going to go on sunday but now i got too much going on that weekend,neutral
sorry to hear ur flight got cancelled that blows,negative
ohh my tooth is hurts ohh i m sad it very hurts,negative
before i get too distracted i like to thank my new followers for taking the trouble to follow me and to my others feelin the love,positive
u think u have bills just finished paying mine that y i broke,negative
not sure it did say it was big i jst saw the pics of u on ur last bday you looked so pretty i miss you,neutral
sore throat planning the tet outing to marwell though good times,neutral
mcfly gig last nightt omg it was amazin did nt sit down through the whole thing mcfly did you see me and ma best mate we were in tutus,positive
days without sleep and now a migraine i thought life was meant to be relaxing,negative
there,neutral
sucks,negative
when s the sway sway winner announced,neutral
k will check it out,neutral
doing pretty well up and wide awake,positive
i want to wake up early and get a coffee tomorrow today it going to be a busyy day but have to keep writing booo whoo,neutral
i miss daddy and mommy,negative
my dog is officially depressed that my brother dogs are gone he does want to go outside and when we did he play half heartedly,negative
i just realized that i ca forward text msgs with my iphone,neutral
my frist post off to find a new car for my parents exciting,positive
argh noo missed the killers on wossy that sucks missed out on brandon total failure anyone know if it repeated must investigate,negative
seriously bored without anyone to talk to but not tired enough for sleep,negative
i am lost please help me find a good home,negative
it a peter gordon morning and i go to pieces and i wanna hide go to pieces and i almost die ever,neutral
ok so i now got a bit of a bad back after lifting all drum hardware into my car downer,negative
lmao smh that one threw me off,neutral
oh nice going,positive
is getting ready for work working all weekend,neutral
gon na celebrate mothers day with the family but gon na start the partying tonite,positive
i agree with you,positive
i only do computers am hopeless at everything else,negative
degrees gross skies and thunderstorms perfect match for my mood lol,positive
aww thanks,positive
sorry rb is on for me,negative
i saw amazing heeels but they were too big,neutral
i just stuck my finger down my throat and there are a bunch of bumps on my tongue throat,negative
dang last url went down,negative
ohoh i missed all ur tweets i m gon na have to stay awake all night to see the announcement now time difference,negative
damnit all that sucks you were one of the ones i thought i drag back lol,negative
my boss she moving to nyc,neutral
this is sooo crazy i have fever,negative
is spending her saturday morning taking notes for a research essay because some stupid recalled the book i using not fair,negative
i think i need some new friends,neutral
looking forward to your gig in ireland see ya there,neutral
please review sunehre ad placement,positive
aww you loooove me,positive
is hungry twitter i want food,neutral
awesome lucky you,positive
yea i should know but tell me everything ps send me direct messages telling haha,neutral
haha i m jewish i love that one,positive
had a great time out in the beer garden wit the boyos i think the sun got to me a bit though feel a bit ill,neutral
on days too matt no fun this weekend,negative
u really do think so maybe ur right lol btw what phone u using think u told me i might have an app for u,neutral
i feel your pain mine is the same way,negative
comes home in two days,neutral
sadly no it did come with one,negative
ca nt wait to see my boy tomorrow,positive
ehhh no just a check up i have a dentist app next week though getting my molar pulled root canal,neutral
aww i miss driving down elmwood,negative
omg wango tango was awsome i love my baby for taking me,positive
version of our live interactive trans siberian ticket planner is launched its very cool,positive
i really wish i could go,positive
yeah real hard but i know you get by with it smile,neutral
i in december that not good at all next big birthday is after it flys by for sure,negative
this has made my night way too funny,positive
woo cavs happy mother day,positive
i make that same face when i get home and your mom is watching soaps,neutral
i have to go to work now,neutral
i ca believe you went and got boba without me,neutral
and to you too how are you today,neutral
thanks for the warm welcome we did make plans because our arrival time was so up in the air,positive
days and counting,neutral
sorry friends i swamped with deadlines right now and we have family visiting to boot no charades for me,negative
brainfreeze,neutral
just discovered a shortcoming of gravity when you use twitpic integrated it does subtract the pic url from the character limit,neutral
my sunburn is peeling,negative
perky purple nail polish is as perky when its chipped,neutral
before they put a camera in the smokers pit i can no longer vandalize that door without being caught,neutral
laying alone since mook soo comfy in his play pen i thought it was ill at first now i do have no one to cuddle with,negative
i hate the dentist,negative
nothing aimed at you just joining in sorry,negative
i taking a twitter break cell is dying,negative
qood morninq,neutral
writing my english original writing storyyyyy and listening to a little respect by erasure aaaaaah,neutral
needs more followers,neutral
i wish i could get my nails done stupid job,negative
the little wormy from labyrinth sadly passed away today but its ok as he s still around in a happy ghost form aww,neutral
the no pants idea could be the new attempt world wide to attract business back to the airlines,neutral
have a good one,positive
yep infact she is popular miss india talented film actress and lot more,positive
want to go to work tomorrow,negative
daniel has won dsds his voice is great,positive
i wish the birthday massacre would come to australia i think they said they thinking about it tho,neutral
was hoping to go to red lobster this weekend,neutral
u mean jack barakat wow so have u ever gone to his house hehe i mean ur ssoo lucky to have the address,positive
i sure do hope it becomes this afternoon,positive
it means that you are now famous congrats,positive
my phone passed away yesterday he jumped off the table searching for a new phone,negative
i have such fantastic friends including several ones met through here thanks for being in my life you are such amazing people,positive
tamlyn wishes she was as cool as my sock draw,positive
so no rice or crusty bread with the chili aawww,neutral
we are of like minds this evening my dear,neutral
come and save me from my packing please,neutral
yes i love tea if that makes me typically english then so be it,positive
a mouth for sure,positive
i finally just have hour of history at pm but i went to my highschool at am to make some homework with a friend,neutral
pancakes with lemon and sugar thanks,positive
si no bueno i guess i just do entertain him,negative
i so hunrgy right now and these heels kill me i can hardly walk in them,negative
both electronic keys stopped working there is no keyhole ca nt get in my car so much for technology,negative
yay three followers good to know more than one person in this big wide world likes fishies,positive
my name is tony not hey poor tony,negative
goodmorning,positive
took a shift tomorrow i do really feel like working right now,negative
i love mine too happy day to your mom john taylor much love to you too,positive
saw a black snake in the garden went back for a picture and it was gone,neutral
we bought ludi her own rug dogs are the best,positive
no waterfront anymore faccia luna and clarendon will have to do,negative
loves her mum very much happy mothers day to all the wonderful mothers out there,positive
slipped up and caught the flu feeling like poop,negative
i have an urge to play wow but i have to wait weeks til i m at my dads til mcfly i m so excited l,positive
ok the passengers no one is alive they all dead you just do know it til the end then you cry,negative
discovered and are sharing on g reader with me and did even know it sigh i such a g reader newb,neutral
is chilled out tonite so can not spew venom or write funny seems like these are the only styles she has,neutral
if u do please pray me lord knows i need it,neutral
aaaaaw i want to live in the usa,neutral
morning tweeple,positive
hey i did get any,neutral
now you only have hours to sleep rest if you need it,positive
that makes my day so much better it been a rough one did i mention i love the new photo,neutral
i do want to sit at home on prom night someone hang out with me,negative
is heading home from foot surgery and wishing she had a boyfriend to come over and cuddle with,positive
concert tonight chackin out and not coming tomorrow,neutral
what happened i thought you were coming back today,neutral
lol dammit well then next time then,negative
lol just do ever forget me,positive
still jealous,negative
me at forever ethan could be there,negative
now im sad but im not giving in first i didnt do nothing,negative
this week of mine was not easy but finally it over,negative
wow what a beautiful picture and by the way i am straight just wanted to let you know bella,positive
in arch drawing checking out mvcc cad degree looks good to me,positive
there are people and then there are pencils some are sharp some are not and some can be sharpened my pencil philosophy,neutral
just about to go home i usually mr positive but this has been one of those daze well mins until tomorrow,neutral
but you always have lee let go to paris,neutral
you know you want to come keep me company whilst mum at her friends for the night it such a nice evening,positive
cooking with my dad having lots of fun in the kitchen together,positive
bouncing rush makes me feel nauseous,negative
off to woolsery this morning to hopefully see north molton clinch the north devon league title lovely day for it,positive
playing singstar without my fave duetter,negative
you missing out bb i such a cereal nut i think i like every kind available,positive
that just weird oh and what was it you were drawing for me,negative
just woke up mums singing to her new cd replacement i bought because i m a good daughter,positive
the birds are out oh man that not cool i did sleep yet for the night,negative
miles down only to go that s ok on the radio alwas helps,positive
my street fighter iv skills are lacking ca beat seth on easy,negative
fil with cool people like me,positive
good morning work and then it espn sunday night baseball hopefully it wo get rained out,positive
i think it under a honeymoon by the good life either that or it under a honey moon by joseph arthur,neutral
my son got stung by a bug for the first time his little finger is slightly swollen,negative
it was hours ago i came in and it only now i realised when i went to buy something online,neutral
oh just referring to our lil exchange on lj with regards to twitter archive postings,neutral
bumping dj opus in the drunk in the car lmao do act like u do know,negative
why kiss the feet of the people who kick you when you can be anything that you want to morning everyone hope you have the best day ever,positive
here a brief preview omg james is creepy in that role i scared of him,negative
i missing crab legs and attending my going away instead,negative
hicks are mean,negative
gettn ready to take a trip to jersey my dad not doing so good he needs a new heart whoeva see this please say a prayer for my dad,negative
back soon need to run to the shops and cut the grass,neutral
i up i have a plan to transform my bedroom today random,neutral
home until tomorrow did my running and spinning now time for chiropractor laundry shopping and visiting family missing nathan,negative
that s another sponsor,neutral
and most of us are going to be stuck in an office some without windows,negative
no it not sad should make you proud,negative
sorry we try to keep it down,negative
is home alone doing hw,neutral
according to a quarter of families under six live in poverty,negative
the plan to not spend money is not going well,negative
uploading all my bamboozle pictures of facebook,neutral
congratulations you guys finish a month early than we do booo,positive
actually i wish i was back in tahoe i miss it there,negative
woke up i wanna stay in my bed,neutral
but my bday is june this is wack and ihavent seen any promotions for my bday party someone better finagle this asap,negative
it would be great if those vips were for some acts i enjoy seeing but noooo,neutral
marie wish i could make it too i hate my commute sometimes,neutral
workin a long day today hopefully i can make some good tips,positive
but it all went too quick and there was a chance lol,negative
hates headaches maybe i not ready to rock,negative
thanks for the support,positive
there really no android twitter app of tweetie calibre,neutral
had a good day driving up mountains visiting katie eating chips fudge and stocking up on lovely smelling soaps,positive
nyappy mother day to your mom,positive
yeah and i m gon na take ur picture off my ipod baby,neutral
traumatizing moment of my childhood my dogs massacred baby bunnies and my brother and i got out the bb gun,negative
lol same here wish there was a way to microsize everything lol,neutral
organization itil forget about people and so they fail preaching to the converted it is the people,negative
libertine um glad you enjoyed it,positive
about to have dinner and then an evening of playing cards already packed and ready to head home tomorrow do we have to go home,neutral
i m allergic to cats my tonsils get swollen and they hurt what do i dooo,negative
he says he feels mama tucking him in at night he lonely but getting by tomorrow will be tough,negative
i miss her alot and its only been one day,negative
sounds like you all had a great night i glad it was successful,positive
thanks for sharing that,positive
you should say mlia instead of fml i hope you find it soon,positive
garden going well almost all the corn and peas are up no onions or beets up yet though,positive
nah jkin he hot so bored now,neutral
ahhh i sqeaky clean and fresh even though i wearing dirty clothes i love two and a half men it amazing,positive
yes i have read them many times,neutral
cuz you play a grown up on twitter,neutral
i am living in ignorance,negative
nope it is telling you that you want cameo creams,neutral
awwww we gon na miss you,negative
we quite like worthing its a relaxing place with nice coffee shops and fresh air and not too many oiks,positive
terrible haha that was new the fact that he could do it should have cost his part what kind of spock is that,neutral
today was a lovely day i had fun with and this evening,positive
beto pizzeria is on banksville rd in i believe the beachview area sorry to answer like years later,negative
sigh my sisters bein strange she came all the way from copenhagen to london and now her phones turned off i wanna see her dammit,negative
it was amazing,positive
barbs trying to figure out y the dsl ai nt connecting i need my google going home to my computer if it do start working soon smh,neutral
i sick and sad missing out on martini lounge tonight,negative
seems really quiet tonight am jealous of those who are clearly having a more exciting life than me off to bed i think,neutral
really wishes he had some spare cash to buy the new punch out for wii,negative
aw not going to toronto anymore,negative
so sorry to hear about your mom that really sucks,negative
i feel for you i hope it a smooth flight be safe mucho amor from boston,positive
ca sleep so i watching hgtv i afraid infomercials are about to take over,negative
i getting me my family ready for kaylee graduation it gon na make me so sad,negative
sweet dreams,positive
hay wats ur aim we should chat,neutral
okay kool i might be touring all summer long but we can make it happen,neutral
in pain my big toe got stomped on during the hokey cokeu it throbbing anyone have any suggestions to heal it,negative
time to watch op then some dead like me then sleep,neutral
having dinner with my grandma since i could be with my mum,neutral
haha thanks its for history and its on how the invention of television has influence america lol,positive
yea so wassup,neutral
stupid jobs idk what to do,negative
shopped til i dropped come bac sunshine i miss u,negative
like your pics lucky girl again,positive
thank you i had anxiety issues for years so i think if i can make it through the first couple of days then i will be fine,neutral
around hours left until a day weekend and i have waaaay too much work to do,neutral
feeling loved my mom got me a nikon cool pix for my birthday,positive
there were attempts to somehow extend inner classes which would be close to closure ca find the ref atm,neutral
yes join us all we require is a cupcake donation,neutral
i have such a hard time talking to new people i am pretty sure i did make a good impression,negative
haha yup but still have a terrible headache and super swollen and puffy eyes i do nt think i m going out,negative
ca access your site,neutral
and the sun is shinning at last,positive
we are on the slowest train ever it stops everywhere missed a quick train by a few minutes,negative
nup no cd either just a whole bunch of zeros and ones you can have for free,neutral
my graduation day and i feel like a failure,neutral
ops that lol was nt supposed to got to twitter,neutral
i do think i ever been so tierd in my life ugh goodnight so sleeping in tomorrow,negative
what are u going to do today my girl,neutral
why does nt he want me anymore,negative
bad hair day,negative
headache,negative
sorry guys i did sign in for a while sorry,negative
i am just okay okay like the rest of the sane population in the world i hate mondays,neutral
mozart requiem,neutral
i think i am a bit in love with his creations and wit but not that physically attracted to him although he has great style,neutral
hey thanks for another great day i going to sleep now i chat with you tomorrow sweet dreams,positive
i bet its cool down in sr huh it not here i have stopped sweating since noon when dad and i were packing,negative
ohshnapsss is she pissed at blair as usual hahah yeeeah i bake cookies,neutral
no bueno hollykins needs to feel better asap i miss you you done with uni soon are you soproudofyou,neutral
cool you and your mother have awesome hair styles wish her a happy mother day,positive
happy mother day mothers,positive
expression watching this again,neutral
stupid bipolar weather ruined my day off,negative
i did want to tell you but i think it your body odour,negative
nice beta for easports still no news on the online for madden,neutral
that s pretty bad quality and probably the worst pic u posted till date,negative
i missed your calls,negative
